COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,change_rate,changing_env,average_generation,equals,equals_all_update,equals_odd+even,equals_odd+even_update,equals_update,genome_length,lineage_length,match_score_all,match_score_even,match_score_odd,match_score_odd_even,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,plastic_odd_even,plastic_odd_even_update
0.0025,1,events-const-all.cfg,2077,0.0,u0,0,20851.7,True,18812,True,18812,18812,113,924,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2078,0.0,u0,0,36537.2,True,48844,True,48844,48844,96,868,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2079,0.0,u0,0,30261.2,True,29960,True,29960,29960,114,870,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2080,0.0,u0,0,29332.5,True,69778,True,69778,69778,120,1015,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2081,0.0,u0,0,26504.8,False,None,False,None,None,127,1220,8,4,4,8,111111110,111111110,111111110,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2082,0.0,u0,0,32511.3,True,18841,True,18841,18841,114,772,8,4,6,10,110111111,110111111,110111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2083,0.0,u0,0,18767.7,True,175799,True,175799,175799,110,664,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2084,0.0,u0,0,29356.3,True,44353,True,44353,44353,111,816,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2085,0.0,u0,0,26065.4,True,119133,True,119133,119133,151,1248,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2086,0.0,u0,0,22248.7,True,7797,True,7797,7797,123,1115,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2087,0.0,u0,0,30898.2,True,5329,True,5329,5329,114,895,8,4,6,10,110111111,110111111,110111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2088,0.0,u0,0,35420.2,True,68681,True,68681,68681,156,1626,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2089,0.0,u0,0,30717.2,True,102272,True,102272,102272,121,1123,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
