COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,change_rate,changing_env,average_generation,equals,equals_all_update,equals_odd+even,equals_odd+even_update,equals_update,genome_length,lineage_length,match_score_all,match_score_even,match_score_odd,match_score_odd_even,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,plastic_odd_even,plastic_odd_even_update
0.0025,1,events-const-00.cfg,1045,0.0,u0,0,31453.9,True,8233,True,8233,8233,110,1323,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1046,0.0,u0,0,29901.3,True,12094,True,12094,12094,110,1322,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1047,0.0,u0,0,32504.1,True,38739,True,38739,38739,108,1199,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1048,0.0,u0,0,27887.6,True,31151,True,31151,31151,121,1087,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1049,0.0,u0,0,28494.6,False,None,False,None,None,124,1246,3,7,1,8,101000100,101000100,101000100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1050,0.0,u0,0,29519.4,True,82588,True,82588,82588,114,1100,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1051,0.0,u0,0,31284.7,False,None,False,None,None,116,1301,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1052,0.0,u0,0,21966.4,False,None,False,None,None,118,1282,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1053,0.0,u0,0,31214,True,39300,True,39300,39300,111,1348,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1054,0.0,u0,0,29375.8,False,None,False,None,None,111,1260,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1055,0.0,u0,0,28745.7,True,64031,True,64031,64031,112,1198,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1056,0.0,u0,0,20877.6,False,None,False,None,None,133,1679,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1057,0.0,u0,0,27885.4,False,None,False,None,None,114,1711,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1058,0.0,u0,0,31073,True,9847,True,9847,9847,105,1506,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1059,0.0,u0,0,35902,False,None,False,None,None,105,1078,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1060,0.0,u0,0,29990.6,True,13672,True,13672,13672,109,1473,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1061,0.0,u0,0,28672.8,False,None,False,None,None,114,1426,3,7,1,8,100010100,100010100,100010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1062,0.0,u0,0,28942.2,True,34242,True,34242,34242,119,1056,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1063,0.0,u0,0,32455.7,True,90613,True,90613,90613,100,1773,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1064,0.0,u0,0,30180.4,False,None,False,None,None,116,1228,3,7,1,8,100010100,100010100,100010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1065,0.0,u0,0,52687.5,True,111191,True,111191,111191,56,795,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1066,0.0,u0,0,29262.6,False,None,False,None,None,121,1328,3,7,1,8,100010100,100010100,100010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1067,0.0,u0,0,31279.4,True,50889,True,50889,50889,122,1323,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1068,0.0,u0,0,28346.2,True,70490,True,70490,70490,121,1359,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1069,0.0,u0,0,27930.8,False,None,False,None,None,119,1442,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1070,0.0,u0,0,35428.3,True,27118,True,27118,27118,84,1122,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1071,0.0,u0,0,28025.4,True,188902,True,188902,188902,124,1655,3,7,3,10,100010001,100010001,100010001,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1072,0.0,u0,0,28905.6,True,11467,True,11467,11467,112,1046,3,7,3,10,101000001,101000001,101000001,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1073,0.0,u0,0,31423.5,False,None,False,None,None,119,1285,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1074,0.0,u0,0,24458.4,True,68195,True,68195,68195,127,1428,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1075,0.0,u0,0,29991.7,False,None,False,None,None,114,1401,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1076,0.0,u0,0,28560.7,True,199402,True,199402,199402,111,1653,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
